Extension,Load
-25.5568,0.7252
-25.5472,0.75114
-25.5372,0.78005
-25.5268,0.81188
-25.5172,0.83858
-25.50733,0.86711
-25.49706,0.8974
-25.4872,0.92569
-25.47733,0.95501
-25.4668,0.98354
-25.4572,1.01261
-25.4472,1.04169
-25.4368,1.07341
-25.4272,1.10326
-25.4172,1.1359
-25.4068,1.16668
-25.39733,1.19586
-25.3872,1.22305
-25.37706,1.26192
-25.36746,1.2858
-25.35733,1.32718
-25.3472,1.35244
-25.3372,1.38478
-25.3272,1.41567
-25.31693,1.44827
-25.30733,1.48474
-25.29746,1.51194
-25.28693,1.55058
-25.27733,1.58478
-25.26733,1.62072
-25.25693,1.65378
-25.24746,1.68109
-25.23733,1.71976
-25.22706,1.7493
-25.2176,1.78384
-25.2072,1.82277
-25.19706,1.85636
-25.18733,1.89167
-25.17706,1.92607
-25.16693,1.96584
-25.15706,1.99838
-25.14706,2.02999
-25.13693,2.07034
-25.1272,2.10141
-25.1172,2.13842
-25.10693,2.17841
-25.09733,2.21155
-25.0872,2.24641
-25.07706,2.28207
-25.06746,2.31848
-25.05706,2.35529
-25.0472,2.39215
-25.03746,2.42876
-25.02693,2.46412
-25.01706,2.50409
-25.0072,2.53903
-24.99693,2.57698
-24.98706,2.61382
-24.97733,2.64935
-24.9672,2.68681
-24.9572,2.72572
-24.9476,2.76404
-24.93706,2.80426
-24.92706,2.8375
-24.91746,2.87698
-24.90693,2.92014
-24.89706,2.95635
-24.88733,2.99149
-24.87679,3.03682
-24.86706,3.06958
-24.85733,3.10548
-24.84693,3.14851
-24.83733,3.18533
-24.82746,3.22402
-24.8172,3.26182
-24.80733,3.30278
-24.79733,3.34425
-24.78706,3.38142
-24.7772,3.42201
-24.76746,3.46336
-24.75693,3.49906
-24.74706,3.54387
-24.73733,3.5759
-24.7268,3.61745
-24.71733,3.66148
-24.70746,3.6949
-24.69706,3.73538
-24.6876,3.77676
-24.67746,3.81296
-24.66693,3.86298
-24.65733,3.89415
-24.6472,3.93891
-24.63693,3.98117
-24.6272,4.02115
-24.6172,4.06651
-24.60693,4.1035
-24.59733,4.14265
-24.58733,4.18539
-24.57693,4.22554
-24.56733,4.269
-24.55733,4.30785
-24.54693,4.35355
-24.53746,4.39462
-24.52733,4.43623
-24.51693,4.47735
-24.5076,4.51941
-24.49733,4.55797
-24.48706,4.6025
-24.47733,4.64353
-24.4672,4.68604
-24.45706,4.72886
-24.44733,4.77063
-24.43733,4.81168
-24.42706,4.85786
-24.41733,4.89919
-24.4072,4.94279
-24.3968,4.98526
-24.38733,5.02747
-24.3772,5.06926
