Extension,Load
4.36013,21.2379
4.3704,21.34394
4.37987,21.43293
4.3904,21.53605
4.40053,21.63427
4.41013,21.72242
4.4204,21.81635
4.43027,21.90396
4.43987,21.98915
4.45027,22.08391
4.46027,22.17428
4.46987,22.2539
4.48027,22.34907
4.49027,22.43949
4.49973,22.51438
4.5104,22.60955
4.52027,22.69936
4.53,22.78135
4.54067,22.88378
4.5504,22.97373
4.56,23.06541
4.57053,23.17566
4.58013,23.26856
4.59,23.36832
4.60027,23.46955
4.61013,23.57267
4.62,23.66719
4.6304,23.7703
4.64027,23.87112
4.64987,23.96402
4.6604,24.06384
4.67027,24.16393
4.68,24.25627
4.69067,24.35704
4.70013,24.45233
4.70987,24.54123
4.72053,24.64677
4.72987,24.73905
4.73987,24.83388
4.75053,24.92902
4.76,25.01769
4.77013,25.11662
4.78053,25.21796
4.79013,25.31403
4.80013,25.40748
4.81053,25.50276
4.82013,25.59888
4.83,25.69201
4.84053,25.79185
4.85,25.88508
4.85987,25.97243
4.87053,26.07846
4.87987,26.16345
4.89,26.25727
4.90053,26.35661
4.90973,26.44519
4.92013,26.54755
4.93067,26.65025
4.94013,26.7381
4.95027,26.8443
4.96053,26.94964
4.96987,27.04764
4.98,27.1529
4.9904,27.26225
4.99987,27.3692
5,27.37132
